SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,555 Golden Gate Ave Unit 4I,San Francisco,CA,94102,998000,2,2.0,San Francisco,912,,2021,15,1094,696,Active,,,http://www.redfin.com/CA/San-Francisco/555-Golden-Gate-Ave-94102/unit-4I/home/176156598,San Francisco MLS,421586080,N,Y,37.7808655,-122.4196054
MLS Listing,,Single Family Residential,634 29th Ave,SAN FRANCISCO,CA,94121,1658000,3,2.0,SAN FRANCISCO,1745,2996,1914,15,950,,Active,,,http://www.redfin.com/CA/San-Francisco/634-29th-Ave-94121/home/617978,MLSListings,ML81859142,N,Y,37.7772867,-122.4886272
MLS Listing,,Vacant Land,6101 Geary Blvd,San Francisco,CA,94121,1528000,0,,San Francisco,,4850,,15,,,Active,,,http://www.redfin.com/CA/San-Francisco/6101-Geary-Blvd-94121/home/176156355,San Francisco MLS,421584476,N,Y,37.7798154,-122.4849192
MLS Listing,,Condo/Co-op,264 Henry St,San Francisco,CA,94114,1395000,2,1.0,San Francisco,1250,4197,1905,15,1116,235,Active,September-7-2021 01:00 PM,September-7-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/264-Henry-St-94114/home/1857814,San Francisco MLS,421585949,N,Y,37.7666907,-122.4368895
MLS Listing,,Condo/Co-op,2856 Washington,San Francisco,CA,94115,1990000,3,2.0,Pacific Heights,1537,,1890,15,1295,400,Active,September-5-2021 02:00 PM,September-5-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/2856-Washington-St-94115/home/1920549,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40963811,N,Y,37.7910785,-122.4404204
MLS Listing,,Single Family Residential,751 38th Ave,San Francisco,CA,94121,1199000,3,2.0,San Francisco,1576,3088,1924,15,761,,Active,,,http://www.redfin.com/CA/San-Francisco/751-38th-Ave-94121/home/1041258,San Francisco MLS,421586277,N,Y,37.7746993,-122.4985301
MLS Listing,,Condo/Co-op,167 Pfeiffer St,San Francisco,CA,94133,995000,2,1.0,San Francisco,970,1059,1907,15,1026,275,Active,September-5-2021 01:00 PM,September-5-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/167-Pfeiffer-St-94133/home/538742,San Francisco MLS,421585551,N,Y,37.8046227,-122.4093935
MLS Listing,,Condo/Co-op,1933 - B Jones St,San Francisco,CA,94133,1195000,3,2.0,San Francisco,,3000,1924,15,,260,Active,September-4-2021 01:00 PM,September-4-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/1933-Jones-St-94133/home/28890456,San Francisco MLS,421566172,N,Y,37.7992161,-122.4159659
MLS Listing,,Condo/Co-op,555 Golden Gate Ave Unit 7C,San Francisco,CA,94102,918000,2,1.0,San Francisco,834,,2021,15,1101,596,Active,,,http://www.redfin.com/CA/San-Francisco/555-Golden-Gate-Ave-94102/unit-7C/home/176155871,San Francisco MLS,421586081,N,Y,37.7808655,-122.4196054
MLS Listing,,Multi-Family (5+ Unit),875 Broadway St,San Francisco,CA,94133,3800000,0,,San Francisco,5027,3919,1958,15,756,,Active,,,http://www.redfin.com/CA/San-Francisco/875-Broadway-94133/home/1355681,San Francisco MLS,421585846,N,Y,37.7969435,-122.4113756
